,activity,event,dataset_id,cross_val_id ,true_pos,false_pos,false_neg,precision,recall,F1,mean_abs_time_diff
627,indoor_walk,TO,Sub6_RF_TO,1,207,2,0,0.9904306220095693,1.0,0.9951923076923077,1.5603864734299517
628,indoor_walk,TO,Sub6_RF_TO,2,216,0,0,1.0,1.0,1.0,1.5972222222222223
629,indoor_walk,TO,Sub6_RF_TO,3,243,7,0,0.972,1.0,0.9858012170385395,1.5761316872427984
630,indoor_walk,TO,Sub7_LF_TO,1,287,44,0,0.8670694864048338,1.0,0.9288025889967637,1.5331010452961673
631,indoor_walk,TO,Sub7_LF_TO,2,221,0,0,1.0,1.0,1.0,1.1809954751131222
632,indoor_walk,TO,Sub7_LF_TO,3,203,0,0,1.0,1.0,1.0,1.1083743842364533
633,indoor_walk,TO,Sub7_RF_TO,1,175,5,0,0.9722222222222222,1.0,0.9859154929577464,1.2228571428571429
634,indoor_walk,TO,Sub7_RF_TO,2,301,64,0,0.8246575342465754,1.0,0.903903903903904,2.0730897009966776
635,indoor_walk,TO,Sub7_RF_TO,3,410,60,0,0.8723404255319149,1.0,0.9318181818181819,2.3090024330900243
636,indoor_walk,TO,Sub8_LF_TO,1,345,6,0,0.9829059829059829,1.0,0.9913793103448275,2.03768115942029
637,indoor_walk,TO,Sub8_LF_TO,2,269,0,0,1.0,1.0,1.0,1.6171003717472119
638,indoor_walk,TO,Sub8_LF_TO,3,314,30,0,0.9127906976744186,1.0,0.9544072948328268,1.9617834394904459
639,indoor_walk,TO,Sub8_RF_TO,1,139,0,0,1.0,1.0,1.0,1.8633093525179856
640,indoor_walk,TO,Sub8_RF_TO,2,354,0,0,1.0,1.0,1.0,1.9124293785310735
641,indoor_walk,TO,Sub8_RF_TO,3,223,2,0,0.9911111111111112,1.0,0.9955357142857144,1.6457399103139014
642,indoor_walk,TO,Sub9_LF_TO,1,354,16,0,0.9567567567567568,1.0,0.9779005524861878,2.053672316384181
643,indoor_walk,TO,Sub9_LF_TO,2,347,211,0,0.6218637992831542,1.0,0.7668508287292818,2.2593659942363113
644,indoor_walk,TO,Sub9_LF_TO,3,371,136,1,0.7317554240631163,0.9973118279569892,0.844141069397042,2.269541778975741
645,indoor_walk,TO,Sub9_RF_TO,1,194,4,1,0.9797979797979798,0.9948717948717949,0.9872773536895675,1.5876288659793814
646,indoor_walk,TO,Sub9_RF_TO,2,246,0,0,1.0,1.0,1.0,1.3333333333333333
647,indoor_walk,TO,Sub9_RF_TO,3,211,7,1,0.9678899082568807,0.9952830188679245,0.9813953488372092,1.5687203791469195
648,indoor_walk,TO,Sub10_LF_TO,1,263,138,1,0.655860349127182,0.9962121212121212,0.7909774436090226,1.4524714828897338
649,indoor_walk,TO,Sub10_LF_TO,2,256,106,0,0.7071823204419889,1.0,0.8284789644012944,1.5546875
650,indoor_walk,TO,Sub10_LF_TO,3,261,108,0,0.7073170731707317,1.0,0.8285714285714285,1.4789272030651341
651,indoor_walk,TO,Sub10_RF_TO,1,302,1,2,0.9966996699669967,0.993421052631579,0.9950576606260296,1.8112582781456954
652,indoor_walk,TO,Sub10_RF_TO,2,198,1,1,0.9949748743718593,0.9949748743718593,0.9949748743718593,1.1262626262626263
653,indoor_walk,TO,Sub10_RF_TO,3,172,0,3,1.0,0.9828571428571429,0.9913544668587896,1.0465116279069768
654,indoor_walk,TO,Sub11_LF_TO,1,172,0,0,1.0,1.0,1.0,0.8895348837209303
655,indoor_walk,TO,Sub11_LF_TO,2,239,0,0,1.0,1.0,1.0,1.1924686192468619
656,indoor_walk,TO,Sub11_LF_TO,3,265,0,0,1.0,1.0,1.0,1.3886792452830188
657,indoor_walk,TO,Sub11_RF_TO,1,115,76,12,0.6020942408376964,0.905511811023622,0.7232704402515723,2.0695652173913044
658,indoor_walk,TO,Sub11_RF_TO,2,271,1,0,0.9963235294117647,1.0,0.998158379373849,1.2546125461254614
659,indoor_walk,TO,Sub11_RF_TO,3,250,0,0,1.0,1.0,1.0,1.12
660,indoor_run,HS,Sub1_LF_HS,1,467,19,2,0.9609053497942387,0.9957356076759062,0.9780104712041885,1.777301927194861
661,indoor_run,HS,Sub1_LF_HS,2,354,16,3,0.9567567567567568,0.9915966386554622,0.9738651994497937,1.4802259887005649
662,indoor_run,HS,Sub1_LF_HS,3,267,20,9,0.9303135888501742,0.967391304347826,0.9484902309058615,1.3745318352059925
663,indoor_run,HS,Sub1_RF_HS,1,336,1,1,0.9970326409495549,0.9970326409495549,0.9970326409495549,1.4375
664,indoor_run,HS,Sub1_RF_HS,2,551,230,0,0.70550576184379,1.0,0.8273273273273274,2.05989110707804
665,indoor_run,HS,Sub1_RF_HS,3,598,95,0,0.862914862914863,1.0,0.9264136328427576,2.20066889632107
666,indoor_run,HS,Sub2_LF_HS,1,483,25,0,0.9507874015748031,1.0,0.9747729566094853,2.0579710144927534
667,indoor_run,HS,Sub2_LF_HS,2,391,11,0,0.972636815920398,1.0,0.9861286254728877,1.7953964194373402
668,indoor_run,HS,Sub2_LF_HS,3,366,27,1,0.9312977099236641,0.997275204359673,0.9631578947368422,1.855191256830601
669,indoor_run,HS,Sub2_RF_HS,1,484,29,0,0.9434697855750487,1.0,0.9709127382146439,2.134297520661157
670,indoor_run,HS,Sub2_RF_HS,2,499,14,0,0.9727095516569201,1.0,0.9861660079051383,2.094188376753507
671,indoor_run,HS,Sub2_RF_HS,3,629,155,0,0.8022959183673469,1.0,0.8903043170559094,2.4705882352941178
672,indoor_run,HS,Sub3_LF_HS,1,317,0,4,1.0,0.9875389408099688,0.9937304075235109,1.5205047318611988
673,indoor_run,HS,Sub3_LF_HS,2,316,4,0,0.9875,1.0,0.9937106918238994,1.4294670846394983
674,indoor_run,HS,Sub3_LF_HS,3,394,51,1,0.8853932584269663,0.9974683544303797,0.9380952380952381,1.6725888324873097
675,indoor_run,HS,Sub3_RF_HS,1,449,26,1,0.9452631578947368,0.9977777777777778,0.9708108108108109,1.957683741648107
676,indoor_run,HS,Sub3_RF_HS,2,490,24,0,0.953307392996109,1.0,0.9760956175298805,1.910204081632653
677,indoor_run,HS,Sub3_RF_HS,3,328,9,0,0.973293768545994,1.0,0.9864661654135338,1.5975609756097562
678,indoor_run,HS,Sub4_LF_HS,1,469,14,0,0.9710144927536232,1.0,0.9852941176470589,2.0319829424307034
679,indoor_run,HS,Sub4_LF_HS,2,461,52,0,0.898635477582846,1.0,0.946611909650924,2.171366594360087
680,indoor_run,HS,Sub4_LF_HS,3,509,118,0,0.8118022328548644,1.0,0.8961267605633803,2.4695481335952847
681,indoor_run,HS,Sub4_RF_HS,1,500,70,0,0.8771929824561403,1.0,0.9345794392523363,2.324
682,indoor_run,HS,Sub4_RF_HS,2,508,9,0,0.9825918762088974,1.0,0.9912195121951219,2.1535433070866143
683,indoor_run,HS,Sub4_RF_HS,3,382,20,0,0.9502487562189055,1.0,0.9744897959183674,1.8795811518324608
684,indoor_run,HS,Sub5_LF_HS,1,313,0,10,1.0,0.9690402476780186,0.9842767295597483,1.3067092651757188
685,indoor_run,HS,Sub5_LF_HS,2,584,5,0,0.9915110356536503,1.0,0.9957374254049446,1.9589041095890412
686,indoor_run,HS,Sub5_LF_HS,3,400,0,2,1.0,0.9950248756218906,0.9975062344139651,1.445
687,indoor_run,HS,Sub5_RF_HS,1,524,110,0,0.8264984227129337,1.0,0.9050086355785838,2.013358778625954
688,indoor_run,HS,Sub5_RF_HS,2,453,101,0,0.8176895306859205,1.0,0.8997020854021847,1.6777041942604856
689,indoor_run,HS,Sub5_RF_HS,3,552,212,0,0.7225130890052356,1.0,0.8389057750759878,2.0869565217391304
690,indoor_run,HS,Sub6_LF_HS,1,421,64,0,0.8680412371134021,1.0,0.9293598233995585,2.339667458432304
691,indoor_run,HS,Sub6_LF_HS,2,438,180,0,0.7087378640776699,1.0,0.8295454545454545,1.9657534246575343
692,indoor_run,HS,Sub6_LF_HS,3,453,14,0,0.9700214132762313,1.0,0.9847826086956522,1.9977924944812362
693,indoor_run,HS,Sub6_RF_HS,1,457,91,0,0.833941605839416,1.0,0.909452736318408,2.2428884026258205
694,indoor_run,HS,Sub6_RF_HS,2,461,92,0,0.833634719710669,1.0,0.9092702169625246,2.3203463203463204
695,indoor_run,HS,Sub6_RF_HS,3,502,179,0,0.737151248164464,1.0,0.8486897717666948,2.414342629482072
696,indoor_run,HS,Sub7_LF_HS,1,280,8,0,0.9722222222222222,1.0,0.9859154929577464,1.675
697,indoor_run,HS,Sub7_LF_HS,2,302,0,0,1.0,1.0,1.0,1.3940397350993377
698,indoor_run,HS,Sub7_LF_HS,3,317,9,0,0.9723926380368099,1.0,0.9860031104199067,1.8201892744479495
699,indoor_run,HS,Sub7_RF_HS,1,449,42,0,0.9144602851323829,1.0,0.9553191489361702,2.1425389755011137
700,indoor_run,HS,Sub7_RF_HS,2,387,7,0,0.9822335025380711,1.0,0.9910371318822023,1.7700258397932818
701,indoor_run,HS,Sub7_RF_HS,3,464,49,0,0.9044834307992202,1.0,0.9498464687819856,2.1831896551724137
702,indoor_run,HS,Sub8_LF_HS,1,329,1,0,0.996969696969697,1.0,0.9984825493171471,1.43161094224924
703,indoor_run,HS,Sub8_LF_HS,2,281,0,0,1.0,1.0,1.0,1.1743772241992882
704,indoor_run,HS,Sub8_LF_HS,3,282,0,0,1.0,1.0,1.0,1.1631205673758864
705,indoor_run,HS,Sub8_RF_HS,1,674,220,0,0.7539149888143176,1.0,0.8596938775510204,2.6706231454005933
706,indoor_run,HS,Sub8_RF_HS,2,525,13,0,0.9758364312267658,1.0,0.9877704609595485,2.1714285714285713
707,indoor_run,HS,Sub8_RF_HS,3,278,0,1,1.0,0.996415770609319,0.9982046678635548,1.3992805755395683
708,indoor_run,HS,Sub9_LF_HS,1,305,18,6,0.9442724458204335,0.9807073954983923,0.9621451104100947,1.4295081967213115
709,indoor_run,HS,Sub9_LF_HS,2,367,11,1,0.9708994708994709,0.9972826086956522,0.9839142091152816,1.5367847411444142
710,indoor_run,HS,Sub9_LF_HS,3,276,2,1,0.9928057553956835,0.9963898916967509,0.9945945945945946,1.326086956521739
711,indoor_run,HS,Sub9_RF_HS,1,419,26,6,0.9415730337078652,0.9858823529411764,0.9632183908045977,1.8305489260143197
712,indoor_run,HS,Sub9_RF_HS,2,606,42,0,0.9351851851851852,1.0,0.9665071770334929,2.1996699669966997
713,indoor_run,HS,Sub9_RF_HS,3,447,30,1,0.9371069182389937,0.9977678571428571,0.9664864864864865,2.017897091722595
714,indoor_run,HS,Sub10_LF_HS,1,473,163,0,0.7437106918238994,1.0,0.8530207394048692,2.0232558139534884
715,indoor_run,HS,Sub10_LF_HS,2,445,165,0,0.7295081967213115,1.0,0.8436018957345972,1.9101123595505618
716,indoor_run,HS,Sub10_LF_HS,3,533,307,0,0.6345238095238095,1.0,0.7764020393299345,2.2889305816135086
717,indoor_run,HS,Sub10_RF_HS,1,481,51,1,0.9041353383458647,0.9979253112033195,0.9487179487179487,2.1704781704781704
718,indoor_run,HS,Sub10_RF_HS,2,17,0,55,1.0,0.2361111111111111,0.38202247191011235,1.3529411764705883
719,indoor_run,HS,Sub10_RF_HS,3,275,31,12,0.8986928104575164,0.9581881533101045,0.927487352445194,2.043010752688172
720,indoor_run,HS,Sub11_LF_HS,1,295,5,2,0.9833333333333333,0.9932659932659933,0.9882747068676717,1.1559322033898305
721,indoor_run,HS,Sub11_LF_HS,2,302,0,0,1.0,1.0,1.0,1.0165562913907285
722,indoor_run,HS,Sub11_LF_HS,3,388,3,3,0.9923273657289002,0.9923273657289002,0.9923273657289002,1.8685567010309279
